Waste Type,Total Recycled ('000 tonnes),Total Generated ('000 tonnes),year
Food,111100,791000,2016
Paper/Cardboard,607100,1183100,2016
Plastics,59500,822200,2016
C&D,1585700,1595400,2016
Horticultural waste,209000,320500,2016
Wood,411600,530700,2016
Ferrous metal,1351500,1357500,2016
Non-ferrous metal,95900,97200,2016
Used slag,247000,251100,2016
Ash & Sludge,28300,227300,2016
Glass,14700,72300,2016
Textile/Leather,10900,150700,2016
Scrap tyres,29700,32700,2016
"Others (stones, ceramics & rubber etc.)",7000,382500,2016
Total,4769000,7814200,2016
Food,104100,785500,2015
Paper/Cardboard,603700,1192200,2015
Plastics,57800,824600,2015
C&D,1402900,1411800,2015
Horticultural waste,237200,362000,2015
Wood,293700,370600,2015
Ferrous metal,1333300,1348500,2015
Non-ferrous metal,160400,180000,2015
Used slag,365800,369900,2015
Ash & Sludge,25200,196000,2015
Glass,14600,75200,2015
Textile/Leather,12500,156700,2015
Scrap tyres,32800,35500,2015
"Others (stones, ceramics & rubber etc)",5700,365000,2015
Total,4649700,7673500,2015
Food,101400,788600,2014
Paper/Cardboard,646500,1237400,2014
Plastics,80000,869000,2014
C&D,1260000,1269700,2014
Horticultural waste,163000,278300,2014
Wood,293400,367900,2014
Ferrous metal,1388900,1445900,2014
Non-ferrous metal,94700,118400,2014
Used slag,361200,366300,2014
Ash & Sludge,21700,148500,2014
Glass,15700,79500,2014
Textile/Leather,16800,158600,2014
Scrap tyres,23100,26200,2014
"Others (stones, ceramics & rubber etc)",4700,360100,2014
Total,4471100,7514500,2014
Food waste,100000,796000,2013
Paper/Cardboard,679400,1261100,2013
Plastics,91100,832200,2013
Construction Debris,1683000,1695300,2013
Wood/Timber,254600,332400,2013
Horticultural Waste,120900,252600,2013
Ferrous Metal,1369200,1416000,2013
Non-ferrous Metals,114000,135100,2013
Used Slag,344800,353700,2013
Sludge,14200,190600,2013
Glass,14600,73500,2013
Textile/Leather,16300,156600,2013
Scrap Tyres,19000,21600,2013
"Others (stones, ceramics & rubber etc)",4800,334800,2013
Total,4825900,7851500,2013
Food waste,85100,703200,2012
Paper/Cardboard,696700,1252000,2012
Plastics,82100,803400,2012
Construction Debris,1282700,1291800,2012
Wood/Timber,236000,343800,2012
Horticultural Waste,108000,247800,2012
Ferrous Metal,1331200,1386000,2012
Non-ferrous Metals,97300,122500,2012
Used Slag,358000,367800,2012
Sludge,0,160200,2012
Glass,19500,74900,2012
Textile/Leather,18300,159300,2012
Scrap Tyres,16100,18400,2012
"Others (stones, ceramics & rubber etc)",4600,338400,2012
Total,4335600,7269500,2012
Food waste,69700,675500,2011
Paper/Cardboard,765000,1368200,2011
Plastics,77000,733000,2011
Construction Debris,1191100,1203700,2011
Wood/Timber,176500,273900,2011
Horticultural Waste,89000,238800,2011
Ferrous Metal,1171600,1239200,2011
Non-ferrous Metals,102800,117300,2011
Used Slag,335900,341600,2011
Sludge,0,152900,2011
Glass,21400,72800,2011
Textile/Leather,17300,131000,2011
Scrap Tyres,18300,22000,2011
"Others (stones, ceramics & rubber etc)",3200,328400,2011
Total,4038800,6898300,2011
Food waste,102400,640500,2010
Paper/Cardboard,738200,1383900,2010
Plastics,78100,740400,2010
Construction Debris,912400,921800,2010
Wood/Timber,190000,270000,2010
Horticultural Waste,99200,251000,2010
Ferrous Metal,1127500,1194600,2010
Non-ferrous Metals,73100,85500,2010
Used Slag,378900,382700,2010
Sludge,0,114400,2010
Glass,19200,79900,2010
Textile/Leather,14700,120900,2010
Scrap Tyres,20000,24000,2010
"Others (stones, ceramics & rubber etc)",3800,307400,2010
Total,3757500,6517000,2010
Food waste,76700,606100,2009
Paper/Cardboard,574200,1201000,2009
Plastics,60300,688900,2009
Construction Debris,1150700,1175800,2009
Wood/Timber,207400,287600,2009
Horticultural Waste,93500,238100,2009
Ferrous Metal,806200,872000,2009
Non-ferrous Metals,47500,57600,2009
Used Slag,418600,422400,2009
Sludge,0,88900,2009
Glass,15600,73100,2009
Textile/Leather,12600,109100,2009
Scrap Tyres,18700,22600,2009
"Others (stones, ceramics & rubber etc)",3200,270900,2009
Total,3485200,6114100,2009
Food waste,68000,568000,2008
Paper/Cardboard,608600,1262500,2008
Plastics,61200,684400,2008
Construction Debris,900000,922000,2008
Wood/Timber,190200,269600,2008
Horticultural Waste,96000,229300,2008
Ferrous Metal,735000,784800,2008
Non-ferrous Metals,72000,85000,2008
Used Slag,560500,566200,2008
Sludge,0,114600,2008
Glass,10000,57100,2008
Textile/Leather,11000,93300,2008
Scrap Tyres,22100,25100,2008
"Others (stones, ceramics & rubber etc)",8000,308300,2008
Total,3342600,5970200,2008
Food waste,51200,558900,2007
Paper/Cardboard,619000,1202900,2007
Plastics,75000,659800,2007
Construction Debris,759300,778300,2007
Wood/Timber,127800,246200,2007
Horticultural Waste,91100,224600,2007
Ferrous Metal,668000,736500,2007
Non-ferrous Metals,75600,92300,2007
Used Slag,520000,527200,2007
Sludge,0,124600,2007
Glass,5800,65300,2007
Textile/Leather,6000,110100,2007
Scrap Tyres,22000,25500,2007
"Others (stones, ceramics & rubber etc)",14000,248600,2007
Total,3034800,5600800,2007
Food waste,44700,542700,2006
Paper/Cardboard,571400,1116300,2006
Plastics,77800,656800,2006
Construction Debris,604000,619000,2006
Wood/Timber,81700,223700,2006
Horticultural Waste,87000,231000,2006
Ferrous Metals,657400,725900,2006
Non-ferrous Metals,70700,86700,2006
Used Slag,417000,470600,2006
Sludge,0,126800,2006
Glass,6400,63000,2006
Textile/Leather,4100,91800,2006
Scrap Tyres,19400,23900,2006
"Others (stones, ceramics & rubber etc)",15300,242300,2006
Total,2656900,5220500,2006
Food waste,36500,531500,2005
Paper/Cardboard,540500,1098600,2005
Plastics,86000,674800,2005
Construction Debris,465300,492500,2005
Wood/Timber,90000,239300,2005
Horticultural Waste,101000,199500,2005
Ferrous Metals,749100,818300,2005
Non-ferrous Metals,74700,89400,2005
Used Slag,298900,382400,2005
Sludge,0,98300,2005
Glass,3800,62600,2005
Textile/Leather,4000,89000,2005
Scrap Tyres,10800,16800,2005
"Others (stones, ceramics & rubber etc)",8800,225200,2005
Total,2469400,5018200,2005
Food waste,31100,531100,2004
Paper/Cardboard,519900,1132100,2004
Plastics,74100,683100,2004
Construction Debris,471000,509000,2004
Wood/Timber,73700,222300,2004
Horticultural Waste,127900,227000,2004
Ferrous Metals,649900,720200,2004
Non-ferrous Metals,71800,86900,2004
Used Slag,259600,267200,2004
Sludge,0,93900,2004
Glass,4900,73600,2004
Textile/Leather,5000,114500,2004
Scrap Tyres,7200,14700,2004
Others,11000,114100,2004
Total,2307100,4789700,2004
Food waste,32900,548000,2003
Paper/Cardboard,466200,1084700,2003
Plastics,39100,579900,2003
Construction Debris,398300,422900,2003
Wood/Timber,40800,213400,2003
Horticultural Waste,119300,304600,2003
Ferrous Metals,799000,856700,2003
Non-ferrous Metals,75800,93900,2003
Used Slag,238500,260300,2003
Sludge,0,88500,2003
Glass,6200,65500,2003
Textile/Leather,900,91600,2003
Scrap Tyres,6200,14400,2003
"Others (stones, ceramics & rubber etc)",0,103800,2003
Total,2223200,4728200,2003
Construction debris,1599900,1609300,2017
Ferrous metal,1371000,1378800,2017
Used slag,269400,272500,2017
Non-ferrous metals,92200,93700,2017
Scrap tyres,33000,35900,2017
Wood,326800,424100,2017
Horticultural waste,220700,328300,2017
Paper/Cardboard,568800,1144800,2017
Glass,12400,71300,2017
Food,133000,809800,2017
Ash and sludge,28600,243400,2017
Plastic,51800,815200,2017
Textile/Leather,9600,150800,2017
"Others (stones, ceramic, rubber, etc.)",7100,326400,2017
Total,4724300,7704300,2017
